3,122,216,235,247,29,95,198
3,113,96,156,212,77,109,146
3,82,228,241,233,20,84,185
3,139,183,216,213,43,76,158
3,103,90,151,230,73,156,191
3,111,206,229,228,21,78,177
3,65,140,188,221,50,112,201
3,90,66,130,206,77,154,202
3,84,180,214,205,29,67,157
3,115,143,191,216,69,93,168
3,122,120,174,222,53,100,162
3,123,122,176,163,44,74,121
3,42,100,159,163,33,99,154
3,99,4,32,46,255,7,124
3,84,143,191,199,31,87,152
3,21,180,214,214,33,75,176
3,38,119,174,229,38,125,198
3,57,146,193,174,44,71,158
3,87,168,207,181,29,64,138
3,46,72,135,169,64,109,167
