6,198,137,187,190,79,59,106
6,170,138,187,184,63,63,116
6,205,139,188,198,109,60,118
6,219,133,184,184,90,60,100
6,149,132,183,214,111,65,150
6,222,109,166,186,98,64,100
6,141,122,176,142,82,55,124
6,201,129,181,231,97,72,123
6,205,133,184,197,69,66,117
6,203,137,187,199,52,63,123
6,194,130,182,190,62,64,116
6,194,141,189,220,76,64,133
6,208,110,167,205,64,74,107
6,212,129,181,206,115,63,119
6,180,123,177,165,54,62,116
6,226,137,186,202,101,62,110
6,184,108,165,151,97,60,103
6,180,127,180,197,76,75,147
6,206,121,175,166,100,62,103
6,174,130,182,172,81,59,116
