4,75,37,97,93,102,21,77,126,101,8,47,67,124,57,113,40,205,34,93,223,202,53,148,198,88,20,71,85,141,33,83,57
4,96,37,97,115,109,26,84,138,102,10,51,79,117,68,116,42,222,31,88,238,210,72,162,211,89,31,89,112,129,45,104,69
4,85,21,73,93,125,28,80,127,88,15,62,57,96,59,77,63,206,19,70,222,200,89,154,192,77,32,89,97,133,39,101,64
4,85,52,115,107,84,19,73,137,106,9,48,61,135,37,119,36,212,47,110,229,200,50,150,210,86,36,95,105,126,42,108,71
4,77,44,106,97,95,19,72,130,107,8,44,65,135,48,119,33,208,38,99,223,206,51,147,203,81,30,88,103,122,49,111,64
4,89,34,93,108,126,23,81,134,92,18,67,75,94,61,88,62,210,32,91,232,203,57,157,202,72,25,80,111,131,96,161,56
4,74,27,83,115,127,48,121,123,100,10,50,75,124,60,113,43,205,22,74,243,212,125,195,193,80,26,81,157,145,177,206,59
4,92,59,123,125,89,22,78,143,106,10,50,65,114,71,69,38,218,51,114,246,204,56,153,216,94,35,95,157,124,85,134,75
4,94,47,110,123,90,22,75,141,107,9,48,67,117,60,85,36,221,43,105,241,197,53,144,215,91,28,85,109,129,52,113,67
4,84,39,100,118,130,26,90,132,92,7,42,78,136,90,159,46,210,35,95,251,212,66,161,203,81,36,95,156,128,104,152,69
4,82,18,68,104,131,51,107,125,90,15,62,60,102,54,92,60,204,14,59,228,210,124,162,188,84,36,96,170,143,128,178,70
4,92,43,104,131,127,24,91,138,106,13,58,81,125,48,134,44,214,35,94,244,210,68,169,206,93,47,109,147,141,67,144,84
4,91,40,101,98,126,19,80,137,106,8,45,71,135,50,119,34,218,36,96,221,208,49,152,210,84,36,96,109,127,41,104,71
4,81,36,96,101,124,24,90,130,101,8,45,76,134,68,148,39,210,33,92,230,211,67,166,202,81,28,84,130,130,82,144,62
4,93,12,55,79,136,30,71,129,81,12,55,60,102,57,104,65,213,13,58,204,208,78,123,196,75,19,70,99,141,65,135,50
4,85,37,97,122,90,30,81,132,102,9,49,92,127,88,134,41,215,33,91,245,206,74,151,206,82,20,71,110,121,79,110,53
4,75,38,98,104,107,23,82,127,101,8,46,68,126,57,102,39,203,34,93,227,206,58,151,196,87,34,93,94,122,31,88,70
4,75,40,101,118,103,29,96,128,97,6,39,58,127,68,126,38,207,35,94,236,208,71,172,200,82,23,77,106,131,61,116,57
4,88,35,94,100,109,21,70,133,90,21,73,84,76,72,87,67,207,31,89,216,202,52,136,199,68,27,83,114,130,65,121,58
4,67,33,91,101,81,33,97,120,108,9,48,70,138,42,116,35,199,32,90,228,196,80,162,192,87,18,68,78,146,38,105,54
