3,59,64,128,132,127,54,97
3,63,44,105,116,126,50,58
3,88,66,130,129,126,42,71
3,21,36,95,108,153,67,102
3,60,44,106,110,108,48,56
3,25,43,104,101,82,50,34
3,56,55,118,115,151,46,91
3,43,43,105,130,126,67,110
3,53,50,112,151,113,64,88
3,75,43,104,116,131,49,59
3,57,37,97,95,144,45,71
3,81,53,116,117,165,41,79
3,23,46,108,98,18,66,45
3,54,42,103,115,100,57,75
3,34,54,117,111,134,40,68
3,64,70,134,116,91,43,58
3,55,34,93,93,133,49,60
3,39,40,100,122,122,40,62
3,61,30,88,91,108,61,27
3,49,48,111,122,145,49,74
