5,63,69,132,123,54,48,38
5,68,68,131,124,59,50,26
5,78,73,136,130,55,48,34
5,71,69,132,132,57,49,35
5,72,68,131,120,80,46,46
5,69,70,133,130,68,51,37
5,40,78,141,102,49,41,31
5,54,68,131,103,46,48,21
5,79,71,134,132,53,50,27
5,63,66,129,125,66,48,29
5,70,82,144,122,48,44,20
5,56,77,140,123,63,48,33
5,73,68,131,124,36,56,9
5,67,100,159,135,44,46,30
5,88,85,147,144,12,58,16
5,74,80,142,118,22,49,19
5,41,91,152,117,40,44,27
5,87,76,138,128,27,53,18
5,70,71,134,113,46,51,23
5,57,76,139,131,40,48,37
